internal_taxon_name;taxonKey
Chamaesphecia nigrifrons;4525751
Chamaesphecia palustris;165786897
Chariaspilates formosaria;1959876
Charissa ambiguata;4524955
Charissa intermedia;4524936
Charissa italohelveticus;4524975
Chelis cervini;10587111
Chersotis alpestris;4533641
Chersotis margaritacea;1766721
Chersotis ocellina;1766718
Chersotis rectangula;1766773
Chesias legatella;1962990
Chesias rufata;1962972
Dysstroma citrata;1962516
Chloroclysta miata;1963463
Dysstroma truncata;1962434
Chloroclystis v-ata;1989428
Chondrosoma fiduciaria;1979513
Photedes extrema;1792335
Photedes fluxa;1792377
Photedes morrisii;1792390
Cirrhia gilvago;8616451
